Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,symmetric,0.9099999999999999,-14.20353476162396
75% Corpus,7,symmetric,symmetric,-13.077913842477054
75% Corpus,7,asymmetric,0.01,-10.583998613813728
75% Corpus,7,asymmetric,0.31,-13.284831174359345
75% Corpus,7,asymmetric,0.61,-14.016916675575713
75% Corpus,7,asymmetric,0.9099999999999999,-14.085174699801088
75% Corpus,7,asymmetric,symmetric,-12.627622343395512
75% Corpus,8,0.01,0.01,-12.003805099666238
75% Corpus,8,0.01,0.31,-11.648103120356252
75% Corpus,8,0.01,0.61,-13.436586891476692
75% Corpus,8,0.01,0.9099999999999999,-11.765076063446049
75% Corpus,8,0.01,symmetric,-12.754380133153045
75% Corpus,8,0.31,0.01,-12.53580204390143
75% Corpus,8,0.31,0.31,-12.636421635435287
75% Corpus,8,0.31,0.61,-13.53037130807757
75% Corpus,8,0.31,0.9099999999999999,-14.703355914129297
75% Corpus,8,0.31,symmetric,-12.577920953747046
75% Corpus,8,0.61,0.01,-12.508829576168452
75% Corpus,8,0.61,0.31,-11.846721478596518
75% Corpus,8,0.61,0.61,-14.129427338243524
75% Corpus,8,0.61,0.9099999999999999,-13.418437825372756
75% Corpus,8,0.61,symmetric,-12.51801041896928
75% Corpus,8,0.9099999999999999,0.01,-11.763626969654547
75% Corpus,8,0.9099999999999999,0.31,-11.67407209142965
75% Corpus,8,0.9099999999999999,0.61,-12.207258220626638
75% Corpus,8,0.9099999999999999,0.9099999999999999,-12.392235174507519
75% Corpus,8,0.9099999999999999,symmetric,-12.510868205051661
75% Corpus,8,symmetric,0.01,-12.19090464703206
75% Corpus,8,symmetric,0.31,-12.854071141271454
75% Corpus,8,symmetric,0.61,-12.995955001672076
75% Corpus,8,symmetric,0.9099999999999999,-14.220334347575708
75% Corpus,8,symmetric,symmetric,-12.409540522320407
75% Corpus,8,asymmetric,0.01,-10.886960149587118
75% Corpus,8,asymmetric,0.31,-14.501115553700902
75% Corpus,8,asymmetric,0.61,-14.32014413570448
75% Corpus,8,asymmetric,0.9099999999999999,-14.198272173343213
75% Corpus,8,asymmetric,symmetric,-13.742620576480883
75% Corpus,9,0.01,0.01,-12.542157139423535
75% Corpus,9,0.01,0.31,-13.41205394482203
75% Corpus,9,0.01,0.61,-13.447308697909936
75% Corpus,9,0.01,0.9099999999999999,-13.661821217673523
75% Corpus,9,0.01,symmetric,-13.724941169711288
75% Corpus,9,0.31,0.01,-13.517984414913485
75% Corpus,9,0.31,0.31,-13.180244154740778
75% Corpus,9,0.31,0.61,-13.852250681651151
75% Corpus,9,0.31,0.9099999999999999,-14.075896987128015
75% Corpus,9,0.31,symmetric,-13.514606985682244
75% Corpus,9,0.61,0.01,-12.227050229349238
75% Corpus,9,0.61,0.31,-12.77286244919793
75% Corpus,9,0.61,0.61,-13.258476798370385
75% Corpus,9,0.61,0.9099999999999999,-14.383345759553285
75% Corpus,9,0.61,symmetric,-12.764474109769834
75% Corpus,9,0.9099999999999999,0.01,-12.323067096845314
75% Corpus,9,0.9099999999999999,0.31,-12.927924036696112
