Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,symmetric,symmetric,0.44165426095030336
100% Corpus,5,asymmetric,0.01,0.39001412749333364
100% Corpus,5,asymmetric,0.31,0.4674598301415761
100% Corpus,5,asymmetric,0.61,0.46698566972449135
100% Corpus,5,asymmetric,0.9099999999999999,0.4752513018164072
100% Corpus,5,asymmetric,symmetric,0.4634671811206722
100% Corpus,6,0.01,0.01,0.47852431485014263
100% Corpus,6,0.01,0.31,0.456464658017965
100% Corpus,6,0.01,0.61,0.4783852023223893
100% Corpus,6,0.01,0.9099999999999999,0.5189928744783786
100% Corpus,6,0.01,symmetric,0.4697147063806521
100% Corpus,6,0.31,0.01,0.454189119515284
100% Corpus,6,0.31,0.31,0.4719307394868624
100% Corpus,6,0.31,0.61,0.4607973504947119
100% Corpus,6,0.31,0.9099999999999999,0.46844983068992735
100% Corpus,6,0.31,symmetric,0.470563241487521
100% Corpus,6,0.61,0.01,0.4812033483515929
100% Corpus,6,0.61,0.31,0.48453045017679114
100% Corpus,6,0.61,0.61,0.47122196921685516
100% Corpus,6,0.61,0.9099999999999999,0.4520050475464301
100% Corpus,6,0.61,symmetric,0.46757635427302485
100% Corpus,6,0.9099999999999999,0.01,0.48543291421823453
100% Corpus,6,0.9099999999999999,0.31,0.4432103166429722
100% Corpus,6,0.9099999999999999,0.61,0.45085188432671597
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.45736228246656546
100% Corpus,6,0.9099999999999999,symmetric,0.45450649378745317
100% Corpus,6,symmetric,0.01,0.4661274751517757
100% Corpus,6,symmetric,0.31,0.4438658265626875
100% Corpus,6,symmetric,0.61,0.4961431231947408
100% Corpus,6,symmetric,0.9099999999999999,0.4835576613658337
100% Corpus,6,symmetric,symmetric,0.4630286667811811
100% Corpus,6,asymmetric,0.01,0.4331864667264453
100% Corpus,6,asymmetric,0.31,0.501392575873714
100% Corpus,6,asymmetric,0.61,0.5169422195352722
100% Corpus,6,asymmetric,0.9099999999999999,0.508242598463848
100% Corpus,6,asymmetric,symmetric,0.5103701748202957
100% Corpus,7,0.01,0.01,0.4759369930098117
100% Corpus,7,0.01,0.31,0.49503401250139556
100% Corpus,7,0.01,0.61,0.4747087718199038
100% Corpus,7,0.01,0.9099999999999999,0.4803000775779203
100% Corpus,7,0.01,symmetric,0.5114537163481357
100% Corpus,7,0.31,0.01,0.476967120563081
100% Corpus,7,0.31,0.31,0.49832207798926653
100% Corpus,7,0.31,0.61,0.47917909039819284
100% Corpus,7,0.31,0.9099999999999999,0.4984720813906063
100% Corpus,7,0.31,symmetric,0.49693073653848524
100% Corpus,7,0.61,0.01,0.4764098722089006
100% Corpus,7,0.61,0.31,0.4728577242697651
100% Corpus,7,0.61,0.61,0.4644366682505648
100% Corpus,7,0.61,0.9099999999999999,0.44707621480965404
100% Corpus,7,0.61,symmetric,0.4932470137019462
100% Corpus,7,0.9099999999999999,0.01,0.4893177775584245
100% Corpus,7,0.9099999999999999,0.31,0.47683939100281164
100% Corpus,7,0.9099999999999999,0.61,0.44494747302606125
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4379446370473172
100% Corpus,7,0.9099999999999999,symmetric,0.47360732804039074
100% Corpus,7,symmetric,0.01,0.48320416655976867
100% Corpus,7,symmetric,0.31,0.5094158447492626
100% Corpus,7,symmetric,0.61,0.4932459375374569
100% Corpus,7,symmetric,0.9099999999999999,0.4996235704793525
100% Corpus,7,symmetric,symmetric,0.49060546990334103
100% Corpus,7,asymmetric,0.01,0.41339633036501444
100% Corpus,7,asymmetric,0.31,0.4866501483589816
100% Corpus,7,asymmetric,0.61,0.46257436200321267
100% Corpus,7,asymmetric,0.9099999999999999,0.511100703887882
100% Corpus,7,asymmetric,symmetric,0.4640041078162069
100% Corpus,8,0.01,0.01,0.48496229688758563
100% Corpus,8,0.01,0.31,0.4913226433206596
100% Corpus,8,0.01,0.61,0.4602901244665657
100% Corpus,8,0.01,0.9099999999999999,0.480582834966637
100% Corpus,8,0.01,symmetric,0.46361787487376416
100% Corpus,8,0.31,0.01,0.5071240583750102
100% Corpus,8,0.31,0.31,0.5268956897314997
100% Corpus,8,0.31,0.61,0.5340425891131355
100% Corpus,8,0.31,0.9099999999999999,0.4859306693452796
100% Corpus,8,0.31,symmetric,0.5194863700064114
100% Corpus,8,0.61,0.01,0.4942243554568299
100% Corpus,8,0.61,0.31,0.4794128617070769
100% Corpus,8,0.61,0.61,0.47223878961303994
100% Corpus,8,0.61,0.9099999999999999,0.463719521244035
100% Corpus,8,0.61,symmetric,0.5170952207228363
100% Corpus,8,0.9099999999999999,0.01,0.4886003160485184
100% Corpus,8,0.9099999999999999,0.31,0.466734282202652
100% Corpus,8,0.9099999999999999,0.61,0.4801450589513715
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4441349836970861
100% Corpus,8,0.9099999999999999,symmetric,0.5172935994684695
100% Corpus,8,symmetric,0.01,0.4946445858247927
100% Corpus,8,symmetric,0.31,0.5149181568261432
100% Corpus,8,symmetric,0.61,0.48289970723817804
100% Corpus,8,symmetric,0.9099999999999999,0.45375293870034883
100% Corpus,8,symmetric,symmetric,0.5008004341438684
100% Corpus,8,asymmetric,0.01,0.43999468434804667
